label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72
0.03	north11_all	80	6060	2845	1660	1152	892	1000	472	402	302	242	237	175	261	103	114	90	128	174	50	55	36	33	27	37	26	23	12	13	29	16	8	7	8	6	5	5	2	5	1	6	7	2	3	0	2	1	0	2	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	1836	952	442	290	219	707	118	165	80	75	65	86	195	50	30	50	98	141	19	20	6	10	5	31	12	14	9	8	23	5	3	1	3	2	3	0	1	2	1	5	4	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	6096	2776	1603	1155	889	881	483	372	286	241	230	167	218	102	113	88	112	171	39	58	34	37	28	30	24	16	13	19	33	15	8	7	9	6	9	5	3	3	2	5	7	3	3	0	1	1	0	3	1	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north12_active	80	1797	907	406	273	192	597	124	137	70	76	71	75	153	47	29	47	89	148	14	18	6	11	5	26	10	10	6	12	27	5	4	2	4	3	6	0	1	2	0	3	4	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north13_all	80	6125	2809	1634	1160	870	978	497	367	302	262	232	194	220	106	117	92	108	220	44	59	33	32	26	42	15	18	16	16	34	12	5	7	9	7	14	8	8	4	4	3	4	5	3	0	1	2	1	4	1	3	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north13_active	80	1935	989	459	300	191	695	125	151	79	92	67	95	162	53	26	54	85	203	15	22	9	8	5	36	7	11	6	10	26	5	5	3	5	3	12	2	3	3	0	1	3	3	0	0	1	1	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north14_all	80	6280	2848	1600	1124	815	1028	491	358	320	264	205	196	244	131	103	93	129	250	45	48	29	32	17	41	19	19	16	15	43	10	5	8	6	8	15	10	7	3	11	4	2	4	2	0	0	2	1	3	1	3	2	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north14_active	80	2126	1054	493	306	214	759	130	157	87	104	47	103	178	67	25	55	100	237	13	15	10	7	5	36	9	13	5	10	26	2	4	4	3	3	13	3	2	3	7	2	2	3	0	0	0	1	0	1	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north15_all	80	6302	2930	1606	1163	782	1115	486	393	349	245	192	222	245	136	98	119	138	272	59	49	36	37	15	42	22	20	20	13	46	14	10	7	5	9	13	8	5	1	10	3	3	4	1	1	0	2	1	2	0	2	1	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	2292	1145	519	336	221	834	131	196	99	99	35	128	185	71	25	65	106	255	20	17	16	9	5	32	11	13	9	8	30	4	8	2	3	2	11	3	2	1	7	2	3	2	0	0	0	1	0	1	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
