label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61
0.03	north7_all	80	14953	9557	5368	1968	2730	867	990	480	337	336	220	266	245	172	76	126	54	50	41	64	35	23	20	11	22	13	18	6	19	9	9	4	9	0	1	0	1	0	2	2	1	2	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north7_active	80	8721	6089	3371	1016	1711	451	618	230	165	144	112	163	143	100	38	80	32	24	17	39	23	10	12	4	12	9	11	4	14	5	5	0	8	0	1	0	0	0	2	2	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	14991	9535	5334	1988	2691	908	958	489	354	318	237	277	235	177	74	124	58	58	37	60	36	24	23	13	20	12	16	8	19	13	7	5	10	0	1	3	1	0	2	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north8_active	80	8723	6115	3353	1054	1742	464	572	254	172	145	121	168	132	107	33	77	34	27	15	32	22	12	17	7	11	7	12	5	15	6	3	1	9	0	0	1	0	0	2	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	14417	9054	5173	1954	2563	857	901	483	361	320	255	258	206	161	80	108	66	59	41	55	31	25	23	6	16	6	14	7	17	13	10	5	12	0	2	3	1	0	1	1	1	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north9_active	80	8325	5778	3292	1039	1649	438	526	254	178	167	139	161	119	101	30	60	37	26	22	31	16	11	17	4	11	1	7	4	13	7	6	2	11	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	13875	8739	4862	1923	2410	816	862	461	334	302	246	246	192	193	79	110	84	65	39	49	34	24	26	10	13	11	17	7	18	8	7	5	12	0	4	6	1	0	3	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0
0.03	north10_active	80	7866	5569	3107	1017	1550	408	496	235	166	174	132	137	110	121	32	68	44	34	20	29	17	11	17	5	9	3	10	3	13	3	5	2	11	0	1	4	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
0.03	north11_all	80	15283	9648	5520	1964	2544	866	953	504	367	311	243	318	214	209	84	123	68	50	39	46	31	24	23	11	22	11	18	12	10	10	3	2	2	1	3	2	2	2	1	0	0	2	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	8997	6298	3499	1066	1619	419	573	259	187	157	122	203	123	127	33	65	33	28	17	24	15	12	12	3	14	4	10	7	7	7	2	0	1	1	0	2	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	15237	9488	5546	1952	2589	866	920	477	386	317	234	290	197	183	88	131	76	59	38	53	30	21	23	12	19	13	23	12	4	15	3	2	3	1	2	2	1	2	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	9017	6163	3527	1040	1615	420	543	260	191	161	129	169	112	106	39	71	34	30	15	31	13	10	12	3	12	6	16	5	4	9	2	0	2	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	15362	9699	5512	1914	2515	905	940	482	363	310	235	257	198	182	98	127	70	59	40	61	32	22	23	12	18	14	22	12	1	12	2	3	4	1	1	2	5	2	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	9143	6293	3627	1018	1559	443	553	257	193	167	125	141	119	105	43	82	34	33	15	44	16	9	13	1	11	9	19	5	1	5	1	2	2	1	0	1	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	15093	9744	5306	1943	2571	909	912	490	374	309	248	270	188	169	96	118	59	59	41	67	31	21	19	14	15	13	23	10	11	11	2	4	3	1	0	2	7	3	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
